task_type,condition,n,total_reward_mean,total_reward_std,total_reward_ci95_lo,total_reward_ci95_hi,quality_score_mean,quality_score_std,quality_score_ci95_lo,quality_score_ci95_hi,pass_rate,pub_ge_06_rate,pub_ge_090_rate,mean_cost_rub,mean_time_s
crypto_text_web,full,50,0.9696,0.010079,0.966781,0.972305,0.8404,0.052913,0.8256,0.8546,1.0,1.0,1.0,13.80476,82.78738
crypto_text_web,no_rag,50,0.850438,0.024306,0.842476,0.855314,0.856939,0.040373,0.845306,0.867959,1.0,1.0,0.0,10.56421,80.40176
crypto_text_web,no_bon,50,0.940095,0.031603,0.931067,0.948419,0.726,0.130697,0.6886,0.7602,1.0,1.0,0.88,2.805934,66.7617
forensics_image_metadata,full,50,0.975333,0.013971,0.971295,0.978876,0.878,0.057463,0.8618,0.893,1.0,1.0,1.0,12.64474,96.6055
forensics_image_metadata,no_rag,50,0.86461,0.006061,0.862933,0.866286,0.9142,0.031822,0.9054,0.923,1.0,1.0,0.0,9.42007,91.71892
forensics_image_metadata,no_bon,50,0.944419,0.031855,0.9356,0.95299,0.7832,0.095777,0.7554,0.8088,1.0,1.0,0.86,2.607706,71.55106
chat_llm,full,50,0.928618,0.025884,0.9214,0.935636,0.8594,0.039092,0.8484,0.8696,1.0,1.0,0.88,13.09376,75.67362
chat_llm,no_rag,50,0.8668,0.005254,0.865418,0.868291,0.8924,0.028895,0.8848,0.9006,1.0,1.0,0.0,9.26241,63.98202
chat_llm,no_bon,50,0.899097,0.030517,0.890564,0.907218,0.834255,0.056443,0.817447,0.849149,0.94,1.0,0.62,3.186764,70.85982
web_static_xss,full,50,0.966686,0.024021,0.95979,0.972876,0.8926,0.041933,0.881,0.904,1.0,1.0,0.96,13.8735,113.56576
web_static_xss,no_rag,50,0.865105,0.006536,0.863352,0.866895,0.9168,0.034312,0.9076,0.9262,1.0,1.0,0.0,10.11554,90.59326
web_static_xss,no_bon,50,0.953466,0.039539,0.94175,0.963428,0.873878,0.041323,0.861837,0.885102,0.98,1.0,0.92,3.65957,84.8527
web_static_xss,no_self_test,50,0.973524,0.019752,0.967638,0.978381,0.894,0.039227,0.8822,0.9038,1.0,1.0,0.98,14.08425,82.32568
